Name,Address,Phone,Website,Category,Price Level,Rating,Description,Image URLs
Upstream Brewing Company,"514 South 11th Street, Omaha",(402) 344-0200,http://www.upstreambrewing.com/,"restaurant, bar, food, point_of_interest, establishment",2,4.4,Beers brewed on-site plus American pub grub in an Old Market space with pool tables & shaded patio.,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ1sxHmAG1WXcUvYR4fTYd_u83BDmSmnWFaSae3C8LD9PcpUvrm4mNWM3tVQw45WUOJBDAndORqgtnuw8XqK73QfatD55uN6FJqeDCjQt4ofK9lB5q_2-aFXeExzNLJIavGwFTrFYfGTolLQqty58Cy5UkITfVvVhd-ngSaRCbuuQo7ndUZtISp_uwV1CLEcMp-XE3J8ftl8VX5V4yhbqbDWA0EyhQ0aeZyTiV78bXPZXl5Ak3hCV7gb-lTcWPX6fQM6NN49v4UMncuAAw1fFlSvUKc_SKPyD-gJVQgVeqy5-sTcpEXAotrYT1G0rilT98enxTjeLhORDoZO36-AAHQ8ChUOY5RXt0xwo_zlwyXrvCrH6eY4DevcYXtA5_hu8VNVrapHrpgOwp4UB3oQMwgJukQixQ-Emt9Fv95IJYhhgyTz6O1e0QubnJfApypecd5SPOXtQ6UON5cdt_KguvOyrE0MjwydJkFJxMkNFqswq1_hyFXeTENvj_NDEhYtHEPEa7fCqnNvgkVBXnOyZnypqZ2l3mXW4zmrj78iWsKhg2WZ6p86FH5m_MsS0ikMPNJWg4DUqb6QFb_r_5euO_6imUVW7wz-IVC31ePdeIPHGGK5xzLzccyo4DKdRmQiyfH7OjWg&key=GOOGLE_API_KEY
ACX Aksarben Cinema,"2110 South 67th Street, Omaha",(402) 502-1914,https://www.acxcinemas.com/,"movie_theater, meal_takeaway, restaurant, food, point_of_interest, establishment",N/A,4.4,"Locally owned movie house featuring 10 screens along with an American cafe, full bar & party room.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ19QYyE750BjxbgRqz32AX-w7qrD2t6lA0w34w62UMX1x16_wDuppX28dCz62WjIyKnjmvi3RHgDk9k1HCF5lfYIYC1rgT49kGZO26V5dIo0gAIyIiSFb65C7c2Uowwx-djCPlunWXPdX3Db2XViEc4lg754ourUDhD5R5uJuI6l_yKGPEqylIdvXMfZNY7RnH1N9ZHa7yPqXbpkEmjs19MeDU0CZEG-6Nh4EpEq5WV3IHmeZug7HL5TdhtFIa3sdH3Oj8KqCQi09xBnR_Efc1e7t815vKUVm27jpDAyGvQom3uf94fWx5wdVelu1h0nSvd5aQxj6U&key=GOOGLE_API_KEY
Blue Sushi Sake Grill,"416 South 12th Street, Omaha",(402) 260-8444,http://www.bluesushisakegrill.com/,"night_club, bar, restaurant, food, point_of_interest, establishment",2,4.5,"Modern, clubby restaurant featuring sushi & Japanese tapas, plus fancy mixed drinks.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ19JbdW1c5tc0oGIwvtNzBJdvReeI0y-RB1qjUc59gaQVQVEnuMFDCcm_Tqjiy_qM2EnJFHfAtS1MqHnYRlkZGMAqvgPBSu_DmCSXK5nB7HTJYvp9c2IoGcIy6xPM-O3LYX3xxE4mhYlPAAQfc6eEZrVNBuHcRmUYp5LgbS3a81rZDQB5i3knve-58zf31ZilsvHOwBE7lXd5EOASmHn_4tWSJUxieB7voNTwXISzsTu8EppwtBk8OPPQQxepmHQCFqOLRS90OZdwePr82L7Q6CUVY-qsLYgDFGN_dF2j9YmXC8stdFOGydgoB3sDck9cMlYnb1NQM&key=GOOGLE_API_KEY
801 Chophouse at the Paxton,"1403 Farnam Street, Omaha",(402) 341-1222,https://801chophouse.com/omaha/,"bar, restaurant, food, point_of_interest, establishment",4,4.7,"Prime cuts of beef, seafood & a large wine selection offered in an elegant, clubby setting.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ0OwAu83H1eqQ-lCA9RWzZKzAdxi0s2rbyRD0uqmYRE31NbkBR_Djs_vur2W6CWMJdPmiv4O8P3EbYhFP6VWkAzqwoWuXe9hc3qxfuMITG8tJf5uO3yTx6pBAn4jXPoTADIld0ZHnC_vCwKGP558f76De4CV0chccti2auIIVUUmslEYWtFn5TGmnrndgg-NLeYBl_MR1H4IToLcZcLZQVLvrCVWFObxFOg9dR2y6jGRz5z2Sh55oUidYMgQVzDJA1JZjj6670Zj0PrhK1BlFbb-wx_15IZyqYB9q7ZSMIAu0Lk4_SSZpqEXfR-ZYZ6y0tANJfktho&key=GOOGLE_API_KEY
Spaghetti Works,"502 South 11th Street, Omaha",(402) 422-0770,https://spagworks.com/spaghettiomaha,"restaurant, food, point_of_interest, establishment",2,4.3,"Casual, family-friendly chain eatery offering Italian classics such as pizza & pasta, plus a bar.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ2npA0woSzrXd7MuL2fCn54RwPj3l0hP98t0iehZCepMpuB8HpbhrYccOiZWpJyxU0WmG0uL4gBMW5ZE53IGh3xUGnLTXUTSp-QVhQbNZtsZXsGxGIzvtA4s4RlasM8tToQQG3HffQwxzzkd6ByTe2Ih-7Y2Xl325eqoSNhuDoDHdnxAXVaeEFhXpzmbSXAv2PpvYZjPyU2tHBTWWoKT7SoDAE97_UAcY0YrtTJVDtwLDYOORd4hf0wYfypVvKAftSnyh200bCuJ_w0dlLKn2UeBaNiqjBPoDvoLfJ7nXNdE4m2gWO6q8lQ54_RDCqicwOYBzI_Qfw&key=GOOGLE_API_KEY
Jason's Deli,"7010 Dodge Street Ste 101, Omaha",(402) 551-2233,https://www.jasonsdeli.com/locations/ne/omaha/7010-dodge-st/,"restaurant, food, point_of_interest, establishment",2,4.4,"Deli chain featuring specialty sandwiches, salads & other health-conscious fare.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ00xMoFYi6bHhg0koXixl--5vCnTiFWgJxj-8SooO7BB3wZhGQ7PQLM36XRhhjB7or0MmahKhZiG_zk4yOh9pi1hkSmRlSpWA4rslmpcsHBPYABCQsU2ml34_4HYdeWTJn6EhH8R8yzQbXBIewULdB_e6yIioHV9yWCMJDzwh3mwGLudDth5QFIEK7UhsVuqAua-k7eiwckMHOVYsiUaxyIuH_0zY2Ce7yfgoUFIesdR2jg6hgtmG2YzAaiuo1px7bZWT4vghytrreYXdgt2Yypp7omjW-l0QUHhY00ksf7agzxe8hsAz-GyhJkLUJIbYeJVxpnitzuP55fpQnKam9hdF0TOxeZ3CfNwxMqITNzEwfbXsLbx3zl4XHW8qf95HKZbje7i4FZPjI9dH8pjzVh3ec9onAeypeuVKzDb8sZTjv-3aRT9Mggpt9RYTDX8kGK0M45V_YvLuxd4AlNSg34_xhImQR-XH_gfbJCmCGaq-nQt9_aOMVMliu1voeqqknkXoI9W-kzu3K9L2kjpAPklMLtBo1yF84cDX3NJDpC2J2uziXKktzjetNojFxu-NTZWLf7KxkGy4KCztzLJpEX9pa0I83miCTqONOdym1879Rwwu4VNolm81R7pVlOkpDBvXWq&key=GOOGLE_API_KEY
Pitch Pizzeria,"5021 Underwood Avenue, Omaha",(402) 590-2625,https://pitchpizzeria.com/,"bar, restaurant, food, point_of_interest, establishment",2,4.5,"Sleek, modern eatery featuring Italian specialties fired in a coal oven, plus a weekday happy hour.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ3o56NZxOvkW9JUibLj4VSp8HT3sIALuG09bfZaiHDMmMaO7RkKQhSm99xUNWxeWNLUoXBYYdKKChjpRBhed4D4--kzVNXOB4lkL_K9ZXHdnaAQ6s0kUJJuDqDHlxgpHbgV354VBAYrDw9xK2SAb-CgXW8bdlySTahDnebfgpwRsgsHmpKvjexqaQtaGNPqlxaXmC1W4nhbkNYFKsLhFRsoP6XS3V8cAEG4bGimvB3lcNNgQHG8U-xTHdvM2BRlbpxRKH0xRb_rdKJ9gMZzkzljXWeDIkVs5H1HrSkkGxuaK_zm7JcK6f7D8CDp483_dGO5R8IMaIY&key=GOOGLE_API_KEY
Crescent Moon,"3578 Farnam Street, Omaha",(402) 345-1708,http://beercornerusa.com/crescentmoon/,"bar, restaurant, food, point_of_interest, establishment",1,4.5,Well-known corner tavern pouring dozens of top beers from around the world alongside pub fare.,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ0A6fFiVChNlmRRkFd5z2X8bwlI35vPmp4WjJ_w5vcPV9AOhIEU6Fq6kUSGj9coVz0QacrP3KC3rjNoBaHKYwxrdRjB2mvE5qLc0dpSUvGHc8wiOkpT5HhDJbNxEMYPE7VsZFlKkzjVzubjVkZTGq_M2ZqVTsjFE_1zFFOCZ5uM1f90Fa3L1rnuOWGikDMoDbIQ9uknc6Hg21P-037-rv9GOAdJw-Tl-hi4xYps9OQ5iJkxbJ0Z8FhCMW-0wem6o6F71dZg0HQUMuCpcr02GEWClc7rLEikGHmrNki2Mqe2uo1wnRuoGrGoqAwB0gPPHBDJRccnz56D5-Rr2BrP9FVBbr0gIAuwH1NtoxZEUWXmR64yp--s7EksmH-C6ppzcAlioKNsOpK2MM17UFLl1xsM-CLbxW2qf-xAPTgWM2IvlvfNtctA9J022_YImj2fyGxLcru2dcHmcF_-JZPO9MXooo-IKEHR3z0P6weGYKGzfsMrBzpM_qhVvlfD54uX5AFzOW04NGDJIxqIK-5F-cW9COxIRA6uh5E6wBdU4N2-v6IgYtdlqKNoZGuAjZfOgab2Bxlif60WhWyijhuFJo_sB7DdmtNPt1NiNI7OotNOai2vlGaGlkBXdCur4Tg3&key=GOOGLE_API_KEY
The Old Mattress Factory Bar & Grill,"501 North 13th Street, Omaha",(402) 346-9116,http://www.themattomaha.com/,"bar, restaurant, food, point_of_interest, establishment",2,4.4,Happening sports bar supplying American pub chow in an 1883 venue with live music & special events.,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ2e4-Aa29hBmkNO8LTLTKBToX2yz6JjDs378FjbKnLBPHgo8Nj4lXhE3xPg0bUn1TnoENWAuXTnUneGaGMBDtxccc8K4WNnI_-qPqltfs6cvYAT01M5-E0m69dLx04AKQFdrufwMc6MMDPRpXbfxduSiADXxtI3lnI6q7WShj-Phs_y4ZJw7K2zPXnf6UklZxV0VuvFNdPxqEV3uJPmRzguvsvAHW1TOjuVIHRiC_85UYhsCX1RAqp1A4JjW4a0hpdHCgKyYvDVezeVQSs8yq_RmSPWc6om_C6F_yC0Pl6jFqmDfwh9b0Z7pX5cV61ncvPiDvS6yQE&key=GOOGLE_API_KEY
DJ's Dugout Sports Bar - Downtown,"1003 Capitol Avenue, Omaha",(402) 763-9974,http://www.djsdugout.com/,"restaurant, bar, food, point_of_interest, establishment",2,3.9,Local sports-bar chain serving pub grub & American food in a contemporary space with multiple TVs.,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ27qxU54js-OZE3Psz4g_zjmiHaE36lDogPH1qIA68w2vBZnazIo5ezpaPzbe4C9GMqnnevs9mug6Jnkw5HIMP-eD2fzMQPvynyI8vBk_scZcEukwMC7UZvP2LDI3k7y8TlDp3-A6Qt0fOp2hUupNeWc0zvKWCywDsSBYOvtFahcCP_yaQ7aR5RqNhx-Ut08VRfcgstajgBm-kkeEesPFDKc-dIVmi2Yxm0KEM7cevYs3C1MtKryVEFN9TwseqN6y-1EkS-pB162fwp2EyaeyxFUrE8zfxMff5yoM2jK2rWH66dTizvURKVPH91VdInbAMDD6f7LwB6aQWv9qYiL8yWDDuNjnlNhBAe7lw403yvOcQ_aKDZE_C69924lXaRXN-oyNlF3kXQV_Pyl0XjjejOoxVCqQIpC_jRnUzeQTIa6VHYubN5oHjJDD2lFMs6uym4CKigmyZtjJV2-Ffb2agW4jlNJ2-lDA1Ww9RcDarJArkGi5_fEdBqv7_hE8Uj6YHZgTVppSrgjELqWTaVL4M-GT8LirukIeFBjG8pgonPJlxYTIbNLfJRnuKVfz9i-tMjBr9b8MbWlZkIHkB0NhdLuWXzS9TpniRdUDczcVQUSVJSzR1f2GWvcv_CSN79cToFQA&key=GOOGLE_API_KEY
